Ind1Name,Dim1Name,Dim1Value,Dim2Name,Dim2Value,Date ,Count
Respiratory,Borough,Bronx,Age Group,All age groups,2/12/16,270
Respiratory,Borough,Bronx,Age Group,All age groups,2/13/16,229
Respiratory,Borough,Bronx,Age Group,All age groups,2/14/16,241
Respiratory,Borough,Bronx,Age Group,All age groups,2/15/16,364
Respiratory,Borough,Bronx,Age Group,All age groups,2/16/16,429
Respiratory,Borough,Bronx,Age Group,All age groups,2/17/16,408
Respiratory,Borough,Bronx,Age Group,All age groups,2/18/16,327
Respiratory,Borough,Bronx,Age Group,All age groups,2/19/16,342
Respiratory,Borough,Bronx,Age Group,All age groups,2/20/16,285
Respiratory,Borough,Bronx,Age Group,All age groups,2/21/16,345
Respiratory,Borough,Bronx,Age Group,All age groups,2/22/16,396
Respiratory,Borough,Bronx,Age Group,All age groups,2/23/16,387
Respiratory,Borough,Bronx,Age Group,All age groups,2/24/16,362
Respiratory,Borough,Bronx,Age Group,All age groups,2/25/16,361
Respiratory,Borough,Bronx,Age Group,All age groups,2/26/16,354
Respiratory,Borough,Bronx,Age Group,All age groups,2/27/16,302
Respiratory,Borough,Bronx,Age Group,All age groups,2/28/16,294
Respiratory,Borough,Bronx,Age Group,All age groups,2/29/16,424
Respiratory,Borough,Bronx,Age Group,All age groups,3/1/16,355
Respiratory,Borough,Bronx,Age Group,All age groups,3/2/16,371
Respiratory,Borough,Bronx,Age Group,All age groups,3/3/16,331
Respiratory,Borough,Bronx,Age Group,All age groups,3/4/16,333
Respiratory,Borough,Bronx,Age Group,All age groups,3/5/16,319
Respiratory,Borough,Bronx,Age Group,All age groups,3/6/16,354
Respiratory,Borough,Bronx,Age Group,All age groups,3/7/16,469
Respiratory,Borough,Bronx,Age Group,All age groups,3/8/16,425
Respiratory,Borough,Bronx,Age Group,All age groups,3/9/16,368
Respiratory,Borough,Bronx,Age Group,All age groups,3/10/16,372
Respiratory,Borough,Bronx,Age Group,All age groups,3/11/16,363
Respiratory,Borough,Bronx,Age Group,All age groups,3/12/16,274
Respiratory,Borough,Bronx,Age Group,All age groups,3/13/16,354
Respiratory,Borough,Bronx,Age Group,All age groups,3/14/16,378
Respiratory,Borough,Bronx,Age Group,All age groups,3/15/16,385
Respiratory,Borough,Bronx,Age Group,All age groups,3/16/16,374
Respiratory,Borough,Bronx,Age Group,All age groups,3/17/16,294
Respiratory,Borough,Bronx,Age Group,All age groups,3/18/16,339
Respiratory,Borough,Bronx,Age Group,All age groups,3/19/16,251
Respiratory,Borough,Bronx,Age Group,All age groups,3/20/16,285
Respiratory,Borough,Bronx,Age Group,All age groups,3/21/16,371
Respiratory,Borough,Bronx,Age Group,All age groups,3/22/16,323
Respiratory,Borough,Bronx,Age Group,All age groups,3/23/16,335
Respiratory,Borough,Bronx,Age Group,All age groups,3/24/16,319
Respiratory,Borough,Bronx,Age Group,All age groups,3/25/16,263
Respiratory,Borough,Bronx,Age Group,All age groups,3/26/16,255
Respiratory,Borough,Bronx,Age Group,All age groups,3/27/16,254
Respiratory,Borough,Bronx,Age Group,All age groups,3/28/16,372
Respiratory,Borough,Bronx,Age Group,All age groups,3/29/16,292
Respiratory,Borough,Bronx,Age Group,All age groups,3/30/16,347
Respiratory,Borough,Bronx,Age Group,All age groups,3/31/16,277
Respiratory,Borough,Bronx,Age Group,All age groups,4/1/16,284
Respiratory,Borough,Bronx,Age Group,All age groups,4/2/16,246
Respiratory,Borough,Bronx,Age Group,All age groups,4/3/16,237
Respiratory,Borough,Bronx,Age Group,All age groups,4/4/16,304
Respiratory,Borough,Bronx,Age Group,All age groups,4/5/16,278
Respiratory,Borough,Bronx,Age Group,All age groups,4/6/16,273
Respiratory,Borough,Bronx,Age Group,All age groups,4/7/16,243
Respiratory,Borough,Bronx,Age Group,All age groups,4/8/16,246
Respiratory,Borough,Bronx,Age Group,All age groups,4/9/16,250
Respiratory,Borough,Bronx,Age Group,All age groups,4/10/16,247
Respiratory,Borough,Bronx,Age Group,All age groups,4/11/16,331
Respiratory,Borough,Bronx,Age Group,All age groups,4/12/16,295
Respiratory,Borough,Bronx,Age Group,All age groups,4/13/16,279
Respiratory,Borough,Bronx,Age Group,All age groups,4/14/16,285
Respiratory,Borough,Bronx,Age Group,All age groups,4/15/16,271
Respiratory,Borough,Bronx,Age Group,All age groups,4/16/16,219
Respiratory,Borough,Bronx,Age Group,All age groups,4/17/16,223
Respiratory,Borough,Bronx,Age Group,All age groups,4/18/16,314
Respiratory,Borough,Bronx,Age Group,All age groups,4/19/16,274
Respiratory,Borough,Bronx,Age Group,All age groups,4/20/16,280
Respiratory,Borough,Bronx,Age Group,All age groups,4/21/16,276
Respiratory,Borough,Bronx,Age Group,All age groups,4/22/16,325
Respiratory,Borough,Bronx,Age Group,All age groups,4/23/16,230
Respiratory,Borough,Bronx,Age Group,All age groups,4/24/16,265
Respiratory,Borough,Bronx,Age Group,All age groups,4/25/16,341
Respiratory,Borough,Bronx,Age Group,All age groups,4/26/16,283
Respiratory,Borough,Bronx,Age Group,All age groups,4/27/16,281
Respiratory,Borough,Bronx,Age Group,All age groups,4/28/16,240
Respiratory,Borough,Bronx,Age Group,All age groups,4/29/16,261
Respiratory,Borough,Bronx,Age Group,All age groups,4/30/16,238
Respiratory,Borough,Bronx,Age Group,All age groups,5/1/16,238
Respiratory,Borough,Bronx,Age Group,All age groups,5/2/16,281
Respiratory,Borough,Bronx,Age Group,All age groups,5/3/16,260
Respiratory,Borough,Bronx,Age Group,All age groups,5/4/16,244
Respiratory,Borough,Bronx,Age Group,All age groups,5/5/16,232
Respiratory,Borough,Bronx,Age Group,All age groups,5/6/16,215
Respiratory,Borough,Bronx,Age Group,All age groups,5/7/16,192
Respiratory,Borough,Bronx,Age Group,All age groups,5/8/16,171
Respiratory,Borough,Bronx,Age Group,All age groups,5/9/16,277
Respiratory,Borough,Bronx,Age Group,All age groups,5/10/16,271
Respiratory,Borough,Bronx,Age Group,All age groups,5/11/16,264
Respiratory,Borough,Bronx,Age Group,All age groups,5/12/16,226
Respiratory,Borough,Bronx,Age Group,All age groups,5/13/16,230
Respiratory,Borough,Bronx,Age Group,All age groups,5/14/16,204
Respiratory,Borough,Bronx,Age Group,All age groups,5/15/16,209
Respiratory,Borough,Bronx,Age Group,All age groups,5/16/16,297
Respiratory,Borough,Bronx,Age Group,All age groups,5/17/16,254
Respiratory,Borough,Bronx,Age Group,All age groups,5/18/16,250
Respiratory,Borough,Bronx,Age Group,All age groups,5/19/16,252
Respiratory,Borough,Bronx,Age Group,All age groups,5/20/16,262
Respiratory,Borough,Bronx,Age Group,All age groups,5/21/16,217
Respiratory,Borough,Bronx,Age Group,All age groups,5/22/16,239
Respiratory,Borough,Bronx,Age Group,All age groups,5/23/16,249
Respiratory,Borough,Bronx,Age Group,All age groups,5/24/16,308
Respiratory,Borough,Bronx,Age Group,All age groups,5/25/16,227
Respiratory,Borough,Bronx,Age Group,All age groups,5/26/16,232
Respiratory,Borough,Bronx,Age Group,All age groups,5/27/16,208
Respiratory,Borough,Bronx,Age Group,All age groups,5/28/16,193
Respiratory,Borough,Bronx,Age Group,All age groups,5/29/16,214
Respiratory,Borough,Bronx,Age Group,All age groups,5/30/16,224
Respiratory,Borough,Bronx,Age Group,All age groups,5/31/16,273
Respiratory,Borough,Bronx,Age Group,All age groups,6/1/16,237
Respiratory,Borough,Bronx,Age Group,All age groups,6/2/16,224
Respiratory,Borough,Bronx,Age Group,All age groups,6/3/16,206
Respiratory,Borough,Bronx,Age Group,All age groups,6/4/16,195
Respiratory,Borough,Bronx,Age Group,All age groups,6/5/16,220
Respiratory,Borough,Bronx,Age Group,All age groups,6/6/16,273
Respiratory,Borough,Bronx,Age Group,All age groups,6/7/16,264
Respiratory,Borough,Bronx,Age Group,All age groups,6/8/16,220
Respiratory,Borough,Bronx,Age Group,All age groups,6/9/16,223
Respiratory,Borough,Bronx,Age Group,All age groups,6/10/16,230
Respiratory,Borough,Bronx,Age Group,All age groups,6/11/16,202
Respiratory,Borough,Bronx,Age Group,All age groups,6/12/16,179
Respiratory,Borough,Bronx,Age Group,All age groups,6/13/16,253
Respiratory,Borough,Bronx,Age Group,All age groups,6/14/16,233
Respiratory,Borough,Bronx,Age Group,All age groups,6/15/16,233
Respiratory,Borough,Bronx,Age Group,All age groups,6/16/16,213
Respiratory,Borough,Bronx,Age Group,All age groups,6/17/16,206
Respiratory,Borough,Bronx,Age Group,All age groups,6/18/16,187
Respiratory,Borough,Bronx,Age Group,All age groups,6/19/16,183
Respiratory,Borough,Bronx,Age Group,All age groups,6/20/16,256
Respiratory,Borough,Bronx,Age Group,All age groups,6/21/16,199
Respiratory,Borough,Bronx,Age Group,All age groups,6/22/16,225
Respiratory,Borough,Bronx,Age Group,All age groups,6/23/16,221
Respiratory,Borough,Bronx,Age Group,All age groups,6/24/16,206
Respiratory,Borough,Bronx,Age Group,All age groups,6/25/16,165
Respiratory,Borough,Bronx,Age Group,All age groups,6/26/16,204
Respiratory,Borough,Bronx,Age Group,All age groups,6/27/16,238
Respiratory,Borough,Bronx,Age Group,All age groups,6/28/16,232
Respiratory,Borough,Bronx,Age Group,All age groups,6/29/16,222
Respiratory,Borough,Bronx,Age Group,All age groups,6/30/16,198
Respiratory,Borough,Bronx,Age Group,All age groups,7/1/16,211
Respiratory,Borough,Bronx,Age Group,All age groups,7/2/16,178
Respiratory,Borough,Bronx,Age Group,All age groups,7/3/16,181
Respiratory,Borough,Bronx,Age Group,All age groups,7/4/16,166
Respiratory,Borough,Bronx,Age Group,All age groups,7/5/16,237
Respiratory,Borough,Bronx,Age Group,All age groups,7/6/16,184
Respiratory,Borough,Bronx,Age Group,All age groups,7/7/16,176
Respiratory,Borough,Bronx,Age Group,All age groups,7/8/16,210
Respiratory,Borough,Bronx,Age Group,All age groups,7/9/16,171
Respiratory,Borough,Bronx,Age Group,All age groups,7/10/16,209
Respiratory,Borough,Bronx,Age Group,All age groups,7/11/16,247
Respiratory,Borough,Bronx,Age Group,All age groups,7/12/16,211
Respiratory,Borough,Bronx,Age Group,All age groups,7/13/16,173
Respiratory,Borough,Bronx,Age Group,All age groups,7/14/16,182
Respiratory,Borough,Bronx,Age Group,All age groups,7/15/16,173
Respiratory,Borough,Bronx,Age Group,All age groups,7/16/16,128
Respiratory,Borough,Bronx,Age Group,All age groups,7/17/16,176
Respiratory,Borough,Bronx,Age Group,All age groups,7/18/16,223
Respiratory,Borough,Bronx,Age Group,All age groups,7/19/16,182
Respiratory,Borough,Bronx,Age Group,All age groups,7/20/16,176
Respiratory,Borough,Bronx,Age Group,All age groups,7/21/16,191
Respiratory,Borough,Bronx,Age Group,All age groups,7/22/16,167
Respiratory,Borough,Bronx,Age Group,All age groups,7/23/16,172
Respiratory,Borough,Bronx,Age Group,All age groups,7/24/16,156
Respiratory,Borough,Bronx,Age Group,All age groups,7/25/16,220
Respiratory,Borough,Bronx,Age Group,All age groups,7/26/16,179
Respiratory,Borough,Bronx,Age Group,All age groups,7/27/16,199
Respiratory,Borough,Bronx,Age Group,All age groups,7/28/16,194
Respiratory,Borough,Bronx,Age Group,All age groups,7/29/16,198
Respiratory,Borough,Bronx,Age Group,All age groups,7/30/16,183
Respiratory,Borough,Bronx,Age Group,All age groups,7/31/16,171
Respiratory,Borough,Bronx,Age Group,All age groups,8/1/16,232
Respiratory,Borough,Bronx,Age Group,All age groups,8/2/16,198
Respiratory,Borough,Bronx,Age Group,All age groups,8/3/16,190
Respiratory,Borough,Bronx,Age Group,All age groups,8/4/16,216
Respiratory,Borough,Bronx,Age Group,All age groups,8/5/16,195
Respiratory,Borough,Bronx,Age Group,All age groups,8/6/16,200
Respiratory,Borough,Bronx,Age Group,All age groups,8/7/16,193
Respiratory,Borough,Bronx,Age Group,All age groups,8/8/16,222
Respiratory,Borough,Bronx,Age Group,All age groups,8/9/16,223
Respiratory,Borough,Bronx,Age Group,All age groups,8/10/16,198
Respiratory,Borough,Bronx,Age Group,All age groups,8/11/16,195
Respiratory,Borough,Bronx,Age Group,All age groups,8/12/16,152
Respiratory,Borough,Bronx,Age Group,All age groups,8/13/16,186
Respiratory,Borough,Bronx,Age Group,All age groups,8/14/16,160
Respiratory,Borough,Bronx,Age Group,All age groups,8/15/16,215
Respiratory,Borough,Bronx,Age Group,All age groups,8/16/16,226
Respiratory,Borough,Bronx,Age Group,All age groups,8/17/16,220
Respiratory,Borough,Bronx,Age Group,All age groups,8/18/16,183
Respiratory,Borough,Bronx,Age Group,All age groups,8/19/16,194
Respiratory,Borough,Bronx,Age Group,All age groups,8/20/16,164
Respiratory,Borough,Bronx,Age Group,All age groups,8/21/16,211
Respiratory,Borough,Bronx,Age Group,All age groups,8/22/16,204
Respiratory,Borough,Bronx,Age Group,All age groups,8/23/16,212
Respiratory,Borough,Bronx,Age Group,All age groups,8/24/16,204
Respiratory,Borough,Bronx,Age Group,All age groups,8/25/16,178
Respiratory,Borough,Bronx,Age Group,All age groups,8/26/16,177
Respiratory,Borough,Bronx,Age Group,All age groups,8/27/16,159
Respiratory,Borough,Bronx,Age Group,All age groups,8/28/16,155
Respiratory,Borough,Bronx,Age Group,All age groups,8/29/16,237
Respiratory,Borough,Bronx,Age Group,All age groups,8/30/16,186
Respiratory,Borough,Bronx,Age Group,All age groups,8/31/16,194
Respiratory,Borough,Bronx,Age Group,All age groups,9/1/16,172
Respiratory,Borough,Bronx,Age Group,All age groups,9/2/16,188
Respiratory,Borough,Bronx,Age Group,All age groups,9/3/16,164
Respiratory,Borough,Bronx,Age Group,All age groups,9/4/16,145
Respiratory,Borough,Bronx,Age Group,All age groups,9/5/16,168
Respiratory,Borough,Bronx,Age Group,All age groups,9/6/16,224
Respiratory,Borough,Bronx,Age Group,All age groups,9/7/16,199
Respiratory,Borough,Bronx,Age Group,All age groups,9/8/16,202
Respiratory,Borough,Bronx,Age Group,All age groups,9/9/16,202
Respiratory,Borough,Bronx,Age Group,All age groups,9/10/16,187
Respiratory,Borough,Bronx,Age Group,All age groups,9/11/16,160
Respiratory,Borough,Bronx,Age Group,All age groups,9/12/16,234
Respiratory,Borough,Bronx,Age Group,All age groups,9/13/16,207
Respiratory,Borough,Bronx,Age Group,All age groups,9/14/16,211
Respiratory,Borough,Bronx,Age Group,All age groups,9/15/16,225
Respiratory,Borough,Bronx,Age Group,All age groups,9/16/16,212
Respiratory,Borough,Bronx,Age Group,All age groups,9/17/16,210
Respiratory,Borough,Bronx,Age Group,All age groups,9/18/16,226
Respiratory,Borough,Bronx,Age Group,All age groups,9/19/16,260
Respiratory,Borough,Bronx,Age Group,All age groups,9/20/16,296
Respiratory,Borough,Bronx,Age Group,All age groups,9/21/16,280
Respiratory,Borough,Bronx,Age Group,All age groups,9/22/16,268
Respiratory,Borough,Bronx,Age Group,All age groups,9/23/16,268
Respiratory,Borough,Bronx,Age Group,All age groups,9/24/16,245
Respiratory,Borough,Bronx,Age Group,All age groups,9/25/16,245
Respiratory,Borough,Bronx,Age Group,All age groups,9/26/16,369
Respiratory,Borough,Bronx,Age Group,All age groups,9/27/16,337
Respiratory,Borough,Bronx,Age Group,All age groups,9/28/16,283
Respiratory,Borough,Bronx,Age Group,All age groups,9/29/16,295
Respiratory,Borough,Bronx,Age Group,All age groups,9/30/16,263
Respiratory,Borough,Bronx,Age Group,All age groups,10/1/16,233
Respiratory,Borough,Bronx,Age Group,All age groups,10/2/16,272
Respiratory,Borough,Bronx,Age Group,All age groups,10/3/16,360
Respiratory,Borough,Bronx,Age Group,All age groups,10/4/16,297
Respiratory,Borough,Bronx,Age Group,All age groups,10/5/16,339
Respiratory,Borough,Bronx,Age Group,All age groups,10/6/16,311
Respiratory,Borough,Bronx,Age Group,All age groups,10/7/16,310
Respiratory,Borough,Bronx,Age Group,All age groups,10/8/16,285
Respiratory,Borough,Bronx,Age Group,All age groups,10/9/16,260
Respiratory,Borough,Bronx,Age Group,All age groups,10/10/16,337
Respiratory,Borough,Bronx,Age Group,All age groups,10/11/16,343
Respiratory,Borough,Bronx,Age Group,All age groups,10/12/16,342
Respiratory,Borough,Bronx,Age Group,All age groups,10/13/16,317
Respiratory,Borough,Bronx,Age Group,All age groups,10/14/16,279
Respiratory,Borough,Bronx,Age Group,All age groups,10/15/16,234
Respiratory,Borough,Bronx,Age Group,All age groups,10/16/16,291
Respiratory,Borough,Bronx,Age Group,All age groups,10/17/16,391
Respiratory,Borough,Bronx,Age Group,All age groups,10/18/16,320
Respiratory,Borough,Bronx,Age Group,All age groups,10/19/16,306
Respiratory,Borough,Bronx,Age Group,All age groups,10/20/16,269
Respiratory,Borough,Bronx,Age Group,All age groups,10/21/16,321
Respiratory,Borough,Bronx,Age Group,All age groups,10/22/16,260
Respiratory,Borough,Bronx,Age Group,All age groups,10/23/16,251
Respiratory,Borough,Bronx,Age Group,All age groups,10/24/16,358
Respiratory,Borough,Bronx,Age Group,All age groups,10/25/16,304
Respiratory,Borough,Bronx,Age Group,All age groups,10/26/16,336
Respiratory,Borough,Bronx,Age Group,All age groups,10/27/16,272
Respiratory,Borough,Bronx,Age Group,All age groups,10/28/16,258
Respiratory,Borough,Bronx,Age Group,All age groups,10/29/16,247
Respiratory,Borough,Bronx,Age Group,All age groups,10/30/16,269
Respiratory,Borough,Bronx,Age Group,All age groups,10/31/16,312
Respiratory,Borough,Bronx,Age Group,All age groups,11/1/16,332
Respiratory,Borough,Bronx,Age Group,All age groups,11/2/16,360
Respiratory,Borough,Bronx,Age Group,All age groups,11/3/16,305
Respiratory,Borough,Bronx,Age Group,All age groups,11/4/16,281
Respiratory,Borough,Bronx,Age Group,All age groups,11/5/16,288
Respiratory,Borough,Bronx,Age Group,All age groups,11/6/16,272
Respiratory,Borough,Bronx,Age Group,All age groups,11/7/16,386
Respiratory,Borough,Bronx,Age Group,All age groups,11/8/16,281
Respiratory,Borough,Bronx,Age Group,All age groups,11/9/16,334
Respiratory,Borough,Bronx,Age Group,All age groups,11/10/16,328
Respiratory,Borough,Bronx,Age Group,All age groups,11/11/16,304
Respiratory,Borough,Bronx,Age Group,All age groups,11/12/16,314
Respiratory,Borough,Bronx,Age Group,All age groups,11/13/16,294
Respiratory,Borough,Bronx,Age Group,All age groups,11/14/16,376
Respiratory,Borough,Bronx,Age Group,All age groups,11/15/16,316
Respiratory,Borough,Bronx,Age Group,All age groups,11/16/16,360
Respiratory,Borough,Bronx,Age Group,All age groups,11/17/16,309
Respiratory,Borough,Bronx,Age Group,All age groups,11/18/16,318
Respiratory,Borough,Bronx,Age Group,All age groups,11/19/16,283
Respiratory,Borough,Bronx,Age Group,All age groups,11/20/16,268
Respiratory,Borough,Bronx,Age Group,All age groups,11/21/16,342
Respiratory,Borough,Bronx,Age Group,All age groups,11/22/16,331
Respiratory,Borough,Bronx,Age Group,All age groups,11/23/16,317
Respiratory,Borough,Bronx,Age Group,All age groups,11/24/16,220
Respiratory,Borough,Bronx,Age Group,All age groups,11/25/16,352
Respiratory,Borough,Bronx,Age Group,All age groups,11/26/16,333
Respiratory,Borough,Bronx,Age Group,All age groups,11/27/16,334
Respiratory,Borough,Bronx,Age Group,All age groups,11/28/16,437
Respiratory,Borough,Bronx,Age Group,All age groups,11/29/16,354
Respiratory,Borough,Bronx,Age Group,All age groups,11/30/16,347
Respiratory,Borough,Bronx,Age Group,All age groups,12/1/16,410
Respiratory,Borough,Bronx,Age Group,All age groups,12/2/16,340
Respiratory,Borough,Bronx,Age Group,All age groups,12/3/16,318
Respiratory,Borough,Bronx,Age Group,All age groups,12/4/16,366
Respiratory,Borough,Bronx,Age Group,All age groups,12/5/16,404
Respiratory,Borough,Bronx,Age Group,All age groups,12/6/16,397
Respiratory,Borough,Bronx,Age Group,All age groups,12/7/16,370
Respiratory,Borough,Bronx,Age Group,All age groups,12/8/16,352
Respiratory,Borough,Bronx,Age Group,All age groups,12/9/16,306
Respiratory,Borough,Bronx,Age Group,All age groups,12/10/16,282
Respiratory,Borough,Bronx,Age Group,All age groups,12/11/16,323
Respiratory,Borough,Bronx,Age Group,All age groups,12/12/16,460
Respiratory,Borough,Bronx,Age Group,All age groups,12/13/16,398
Respiratory,Borough,Bronx,Age Group,All age groups,12/14/16,411
Respiratory,Borough,Bronx,Age Group,All age groups,12/15/16,342
Respiratory,Borough,Bronx,Age Group,All age groups,12/16/16,313
Respiratory,Borough,Bronx,Age Group,All age groups,12/17/16,274
Respiratory,Borough,Bronx,Age Group,All age groups,12/18/16,348
Respiratory,Borough,Bronx,Age Group,All age groups,12/19/16,415
Respiratory,Borough,Bronx,Age Group,All age groups,12/20/16,382
Respiratory,Borough,Bronx,Age Group,All age groups,12/21/16,452
Respiratory,Borough,Bronx,Age Group,All age groups,12/22/16,399
Respiratory,Borough,Bronx,Age Group,All age groups,12/23/16,383
Respiratory,Borough,Bronx,Age Group,All age groups,12/24/16,286
Respiratory,Borough,Bronx,Age Group,All age groups,12/25/16,405
Respiratory,Borough,Bronx,Age Group,All age groups,12/26/16,617
Respiratory,Borough,Bronx,Age Group,All age groups,12/27/16,605
Respiratory,Borough,Bronx,Age Group,All age groups,12/28/16,527
Respiratory,Borough,Bronx,Age Group,All age groups,12/29/16,512
Respiratory,Borough,Bronx,Age Group,All age groups,12/30/16,484
Respiratory,Borough,Bronx,Age Group,All age groups,12/31/16,359
Respiratory,Borough,Bronx,Age Group,All age groups,1/1/17,404
Respiratory,Borough,Bronx,Age Group,All age groups,1/2/17,559
Respiratory,Borough,Bronx,Age Group,All age groups,1/3/17,586
Respiratory,Borough,Bronx,Age Group,All age groups,1/4/17,511
Respiratory,Borough,Bronx,Age Group,All age groups,1/5/17,454
Respiratory,Borough,Bronx,Age Group,All age groups,1/6/17,397
Respiratory,Borough,Bronx,Age Group,All age groups,1/7/17,323
Respiratory,Borough,Bronx,Age Group,All age groups,1/8/17,370
Respiratory,Borough,Bronx,Age Group,All age groups,1/9/17,479
Respiratory,Borough,Bronx,Age Group,All age groups,1/10/17,432
Respiratory,Borough,Bronx,Age Group,All age groups,1/11/17,471
Respiratory,Borough,Bronx,Age Group,All age groups,1/12/17,405
Respiratory,Borough,Bronx,Age Group,All age groups,1/13/17,377
Respiratory,Borough,Bronx,Age Group,All age groups,1/14/17,340
Respiratory,Borough,Bronx,Age Group,All age groups,1/15/17,394
Respiratory,Borough,Bronx,Age Group,All age groups,1/16/17,510
Respiratory,Borough,Bronx,Age Group,All age groups,1/17/17,517
Respiratory,Borough,Bronx,Age Group,All age groups,1/18/17,455
Respiratory,Borough,Bronx,Age Group,All age groups,1/19/17,473
Respiratory,Borough,Bronx,Age Group,All age groups,1/20/17,423
Respiratory,Borough,Bronx,Age Group,All age groups,1/21/17,400
Respiratory,Borough,Bronx,Age Group,All age groups,1/22/17,409
Respiratory,Borough,Bronx,Age Group,All age groups,1/23/17,503
Respiratory,Borough,Bronx,Age Group,All age groups,1/24/17,416
Respiratory,Borough,Bronx,Age Group,All age groups,1/25/17,459
Respiratory,Borough,Bronx,Age Group,All age groups,1/26/17,426
Respiratory,Borough,Bronx,Age Group,All age groups,1/27/17,385
Respiratory,Borough,Bronx,Age Group,All age groups,1/28/17,343
Respiratory,Borough,Bronx,Age Group,All age groups,1/29/17,372
Respiratory,Borough,Bronx,Age Group,All age groups,1/30/17,448
Respiratory,Borough,Bronx,Age Group,All age groups,1/31/17,406
Respiratory,Borough,Bronx,Age Group,All age groups,2/1/17,398
Respiratory,Borough,Bronx,Age Group,All age groups,2/2/17,372
Respiratory,Borough,Bronx,Age Group,All age groups,2/3/17,334
Respiratory,Borough,Bronx,Age Group,All age groups,2/4/17,358
Respiratory,Borough,Bronx,Age Group,All age groups,2/5/17,342
Respiratory,Borough,Bronx,Age Group,All age groups,2/6/17,414
Respiratory,Borough,Bronx,Age Group,All age groups,2/7/17,395
Respiratory,Borough,Bronx,Age Group,All age groups,2/8/17,433
Respiratory,Borough,Bronx,Age Group,All age groups,2/9/17,234
Respiratory,Borough,Bronx,Age Group,All age groups,2/10/17,364
Respiratory,Borough,Bronx,Age Group,All age groups,2/11/17,334
Respiratory,Borough,Bronx,Age Group,All age groups,2/12/17,307
Respiratory,Borough,Bronx,Age Group,All age groups,2/13/17,358
Respiratory,Borough,Bronx,Age Group,All age groups,2/14/17,332
Respiratory,Borough,Bronx,Age Group,All age groups,2/15/17,370
Respiratory,Borough,Bronx,Age Group,All age groups,2/16/17,301
Respiratory,Borough,Bronx,Age Group,All age groups,2/17/17,326
Respiratory,Borough,Bronx,Age Group,All age groups,2/18/17,272
Respiratory,Borough,Bronx,Age Group,All age groups,2/19/17,309
Respiratory,Borough,Bronx,Age Group,All age groups,2/20/17,358
Respiratory,Borough,Bronx,Age Group,All age groups,2/21/17,344
Respiratory,Borough,Bronx,Age Group,All age groups,2/22/17,331
Respiratory,Borough,Bronx,Age Group,All age groups,2/23/17,307
Respiratory,Borough,Bronx,Age Group,All age groups,2/24/17,268
